package	version	tree_hash	source	git_sha
JpegTurbo	0.1.6	9496de8fb52c224a2e3f9ff403947674517317d9	/home/n/.julia/packages/JpegTurbo/Fr9ri	
JpegTurbo_jll	3.2.0+1	037babc10853eeb8e585418922246cb97b8e5b74	/home/n/.julia/packages/JpegTurbo_jll/dWdb4	
KernelDensity	0.6.12	9eda8292dd3268b3b7ec9df21bbfac24e177ec52	/home/n/.julia/packages/KernelDensity/uVtNL	
LAME_jll	3.100.3+0	059aabebaa7c82ccb853dd4a0ee9d17796f7e1bc	/home/n/.julia/packages/LAME_jll/hLSZH	
LERC_jll	4.2.0+0	39bca05343661c347aae0bca57a5994a0bf4f08d	/home/n/.julia/packages/LERC_jll/vI05H	
LLVM	9.13.1	d4bfee24427f4f441bd9212a107e375c39663aab	/home/n/.julia/packages/LLVM/N6lMx	
LLVMExtra_jll	0.0.47+0	d77aea19c9a71059a021acd99b0a4343e9661d94	/home/n/.julia/packages/LLVMExtra_jll/qljSX	
LLVMOpenMP_jll	23.1.1+0	e5b100780d4d30d63b4618d7930d48af409c1772	/home/n/.julia/packages/LLVMOpenMP_jll/bgCml	
LRUCache	1.6.2	5519b95a490ff5fe629c4a7aa3b3dfc9160498b3	/home/n/.julia/packages/LRUCache/ZH7qB	
LaTeXStrings	1.4.1	f88f3ccef05a6a72a0cf0ed417c8fd68530f4ab2	/home/n/.julia/packages/LaTeXStrings/xwv3L	
LazyArtifacts	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LazyArtifacts	
LazyModules	0.3.1	a560dd966b386ac9ae60bdd3a3d3a326062d3c3e	/home/n/.julia/packages/LazyModules/d9Be6	
LazyStack	0.1.3	aff621f1f49e9262a34aaf0d57d02ea3b35aec60	/home/n/.julia/packages/LazyStack/bEWDO	
LeftChildRightSiblingTrees	0.3.0	d4816abce26971e3237b46a47b99991f306e4832	/home/n/.julia/packages/LeftChildRightSiblingTrees/7X9Cz	
LibCURL	0.6.4	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibCURL	
LibCURL_jll	8.4.0+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibCURL_jll	
LibGit2	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibGit2	
LibGit2_jll	1.6.4+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibGit2_jll	
LibSSH2_jll	1.11.0+1	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibSSH2_jll	
LibTracyClient_jll	0.13.1+0	d4e20500d210247322901841d4eafc7a0c52642d	/home/n/.julia/packages/LibTracyClient_jll/rf8WR	
Libdl	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Libdl	
Libffi_jll	3.4.7+0	c8da7e6a91781c41a863611c7e966098d783c57a	/home/n/.julia/packages/Libffi_jll/EP787	
Libglvnd_jll	1.7.1+1	d36c21b9e7c172a44a10484125024495e2625ac0	/home/n/.julia/packages/Libglvnd_jll/upkN8	
Libiconv_jll	1.18.0+0	be484f5c92fad0bd8acfef35fe017900b0b73809	/home/n/.julia/packages/Libiconv_jll/sE4g7	
Libmount_jll	2.42.0+0	cc3ad4faf30015a3e8094c9b5b7f19e85bdf2386	/home/n/.julia/packages/Libmount_jll/Obn9P	
Libtask	0.9.19	d045ad5c965fc46c5d4c459d19a99271887de0e9	/home/n/.julia/packages/Libtask/ooOpb	
Libtiff_jll	4.7.3+0	aebd334d06cee9f24cea70bd19a39749daf73881	/home/n/.julia/packages/Libtiff_jll/5PvcP	
Libuuid_jll	2.42.0+0	d620582b1f0cbe2c72dd1d5bd195a9ce73370ab1	/home/n/.julia/packages/Libuuid_jll/fHaZa	
LineSearches	7.8.1	b4f9762e3ad693626ffd51ae4be359c0a7b08469	/home/n/.julia/packages/LineSearches/viVmL	
LinearAlgebra	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LinearAlgebra	
Loess	0.6.6	aac61f60ed2b1561ae1bbef4e6d7b75c27f1f9e3	/home/n/.julia/packages/Loess/U75a0	
LogDensityProblems	2.2.0	d9625f27ded4ad726ceca7819394a4cc77ed25b3	/home/n/.julia/packages/LogDensityProblems/Yy6GB	
LogDensityProblemsAD	1.13.1	7b83f3ad0a8105f79a067cafbfd124827bb398d0	/home/n/.julia/packages/LogDensityProblemsAD/DH6MG	
LogExpFunctions	0.3.29	13ca9e2586b89836fd20cccf56e57e2b9ae7f38f	/home/n/.julia/packages/LogExpFunctions/iNqo2	
Logging	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Logging	
LoggingExtras	1.2.0	f00544d95982ea270145636c181ceda21c4e2575	/home/n/.julia/packages/LoggingExtras/IICqi	
MCMCDiagnosticTools	0.3.19	345bedeaf7d650f673fefa042dd8384c63de6c68	/home/n/.julia/packages/MCMCDiagnosticTools/KPVrh	
MIMEs	1.1.0	c64d943587f7187e751162b3b84445bbbd79f691	/home/n/.julia/packages/MIMEs/EV8Z2	
MLJModelInterface	1.12.1	c275fae2e693206b4527dd9d2382aa15359ef3ed	/home/n/.julia/packages/MLJModelInterface/EmxvJ	
MacroTools	0.5.16	1e0228a030642014fe5cfe68c2c0a818f9e3f522	/home/n/.julia/packages/MacroTools/Ar0jT	
Makie	0.24.14	37b10d17f74f54dc5fa7d3c6c20fd75613c71d80	/home/n/.julia/packages/Makie/Iy6pu	
