frame	predictor	basis	candidate	loss	baseline	absolute_difference
NCP	sigma	10	0.7	-0.3469828099419711	-0.3469828099419711	0.0
NCP	sigma	10	0.8	-0.21785539172760016	-0.21785539172760016	0.0
NCP	sigma	10	0.9	-0.12002186808543637	-0.12002186808543637	0.0
NCP	sigma	10	1.0	-0.0640154106559683	-0.0640154106559683	0.0
NCP	sigma	11	0.0	-0.5930515375551441	-0.5930515375551441	0.0
NCP	sigma	11	0.1	-0.6382980131357426	-0.6382980131357426	0.0
NCP	sigma	11	0.2	-0.6680851439493655	-0.6680851439493655	0.0
NCP	sigma	11	0.3	-0.6742840984131709	-0.6742840984131709	0.0
NCP	sigma	11	0.4	-0.6340540139765519	-0.6340540139765519	0.0
NCP	sigma	11	0.5	-0.4995431676255959	-0.4995431676255959	0.0
NCP	sigma	11	0.6	-0.28919356230666177	-0.28919356230666177	0.0
NCP	sigma	11	0.7	-0.13068145089841707	-0.13068145089841707	0.0
NCP	sigma	11	0.8	-0.0522976737939162	-0.0522976737939162	0.0
NCP	sigma	11	0.9	-0.01884314507305638	-0.01884314507305638	0.0
NCP	sigma	11	1.0	-0.005236999990326671	-0.005236999990326671	0.0
NCP	sigma	12	0.0	-0.6604146108728041	-0.6604146108728041	0.0
NCP	sigma	12	0.1	-0.7130533102007851	-0.7130533102007851	0.0
NCP	sigma	12	0.2	-0.7377906988844898	-0.7377906988844898	0.0
NCP	sigma	12	0.3	-0.7215070419482698	-0.7215070419482698	0.0
NCP	sigma	12	0.4	-0.6343525662782455	-0.6343525662782455	0.0
NCP	sigma	12	0.5	-0.43480996707269237	-0.43480996707269237	0.0
NCP	sigma	12	0.6	-0.2059584066315389	-0.2059584066315389	0.0
NCP	sigma	12	0.7	-0.07727221240988454	-0.07727221240988454	0.0
NCP	sigma	12	0.8	-0.026921147404329868	-0.026921147404329868	0.0
NCP	sigma	12	0.9	-0.009498689746282945	-0.009498689746282945	0.0
NCP	sigma	12	1.0	-0.0037512807390037784	-0.0037512807390037784	0.0
NCP	sigma	13	0.0	-0.7151762789057694	-0.7151762789057694	0.0
NCP	sigma	13	0.1	-0.773557656048965	-0.773557656048965	0.0
NCP	sigma	13	0.2	-0.7827235575467884	-0.7827235575467884	0.0
NCP	sigma	13	0.3	-0.7153702055078858	-0.7153702055078858	0.0
NCP	sigma	13	0.4	-0.510698578943998	-0.510698578943998	0.0
NCP	sigma	13	0.5	-0.2240278271299468	-0.2240278271299468	0.0
NCP	sigma	13	0.6	-0.06825063727216968	-0.06825063727216968	0.0
NCP	sigma	13	0.7	-0.01747941938760575	-0.01747941938760575	0.0
NCP	sigma	13	0.8	-0.0033189684313420153	-0.0033189684313420153	0.0
NCP	sigma	13	0.9	0.00037369983174634423	0.00037369983174634423	0.0
NCP	sigma	13	1.0	0.001258245095918363	0.001258245095918363	0.0
NCP	sigma	14	0.0	-0.7994084697834729	-0.7994084697834729	0.0
NCP	sigma	14	0.1	-0.8216170223184902	-0.8216170223184902	0.0
NCP	sigma	14	0.2	-0.7394579978611804	-0.7394579978611804	0.0
NCP	sigma	14	0.3	-0.4484263827013488	-0.4484263827013488	0.0
NCP	sigma	14	0.4	-0.1330886021310905	-0.1330886021310905	0.0
NCP	sigma	14	0.5	-0.02843447035382021	-0.02843447035382021	0.0
NCP	sigma	14	0.6	-0.004945629257881963	-0.004945629257881963	0.0
NCP	sigma	14	0.7	-1.7280591078863298e-5	-1.7280591078863298e-5	0.0
