qoi	mean	sd	bulk_ess	tail_ess	split_rhat
sigma(time=10.6)	0.04611305450700895	0.013035566238380479	315.6920784335487	3225.2051565836173	1.0029349665811214
sigma(time=11.0)	0.054126886765524775	0.014690808434112515	381.1579181972054	3367.3094280832634	1.0023223583419696
sigma(time=11.4)	0.06402369214104899	0.016603957841098308	488.5945388727873	3509.46509190815	1.001643164208662
sigma(time=13.2)	0.1419936747950762	0.02839152220564336	3580.6273730364464	4106.738049938066	1.0003118838780676
sigma(time=13.6)	0.16891657112415187	0.03159168939956478	5073.312863818625	4191.331071799633	1.0022907493690378
sigma(time=13.8)	0.18386764831639996	0.033248556158100705	5542.872580035574	4926.527748497755	1.0024556475872024
sigma(time=14.6)	0.25332651300315917	0.04030033168917601	2396.2335719724374	4990.541203543047	1.0019245830308932
sigma(time=14.8)	0.27287881557275423	0.042221297055741625	1335.3555151933888	4582.16173587939	1.00236543019271
sigma(time=15.4)	0.33537029968220183	0.04871267234860139	421.57849868371255	1381.893878264459	1.0046343502236434
sigma(time=15.6)	0.3570373370409788	0.05121806299400953	332.5319550616087	1134.0371138063995	1.006491799635144
sigma(time=15.8)	0.37885816277657486	0.05394141867127486	275.74276847919657	675.3397007360795	1.0078349325075429
sigma(time=16.0)	0.4006530074012895	0.05690347983139032	232.86649936539152	665.986763179129	1.0096371300319391
sigma(time=16.2)	0.4222328554146514	0.06011646635018218	201.4191524201699	374.9227478872459	1.0115512039612584
sigma(time=16.4)	0.4434037395778555	0.06358294446458546	177.79365577079076	257.73197403454054	1.013007456659203
sigma(time=16.6)	0.46397149569865015	0.0672960311925278	162.37381967134337	187.69685735957242	1.013469485691767
sigma(time=16.8)	0.48374677625984097	0.07124077034544915	153.69291642351953	162.94691896341476	1.0136139398993336
sigma(time=17.6)	0.5515785609487622	0.08886926399069324	136.61885040551624	37.57291048002702	1.016013610987534
sigma(time=17.8)	0.5650530390385746	0.0936016389460576	134.19740593329425	36.02183566411045	1.0172048289275315
sigma(time=18.6)	0.6029201216726052	0.11283933717261	125.10769854270534	32.74610418965946	1.0184294606545343
sigma(time=19.2)	0.6147626593051853	0.1263054747053962	117.36955133684562	33.24884928541452	1.0186556642797537
sigma(time=19.4)	0.6158803353773821	0.1303157728644533	113.62290344720616	31.956234701294136	1.01829486373403
sigma(time=19.6)	0.6157480735936569	0.13399065106669053	111.46483126824572	32.79709186826496	1.0175666322311427
sigma(time=20.2)	0.6090293728302782	0.14251309394540404	109.08123112229748	34.92224932214204	1.015342236379679
sigma(time=20.4)	0.6050958461166344	0.1443957604375701	109.14441096002578	36.705911972241715	1.0153988151966917
sigma(time=21.2)	0.5841776000166318	0.14671054421017773	110.50735194756686	39.95848897360214	1.013344519527704
sigma(time=21.4)	0.5782273035021387	0.14600949122709878	111.63459544003913	40.916032125829695	1.0131832098351505
sigma(time=21.8)	0.5661850456346806	0.14320994903419923	114.64458291548335	111.80096044736509	1.0129699071713938
sigma(time=22.0)	0.5602724843261874	0.14117270221116915	116.15402974429443	113.83470751041558	1.0128654640635428
sigma(time=23.2)	0.5308465904105285	0.12239165828784208	138.96658106835054	155.25062979467765	1.0109571315191528
sigma(time=23.4)	0.5274617772947073	0.11855978057633944	145.66596409645774	130.44876925995823	1.010537129860311
sigma(time=24.0)	0.5206598919345176	0.1068061168803868	172.36101090784564	233.74542319730824	1.0089864322774433
sigma(time=24.2)	0.5195810525228699	0.10298917312781518	184.10114866731683	320.0000966023108	1.0083793522073894
sigma(time=24.6)	0.5192761427566914	0.09589295184187147	222.41226830783017	817.7872011046834	1.006746772623608
sigma(time=25.0)	0.5214484893674994	0.08999693251635581	283.835402420197	5591.601787250556	1.0050535829463254
sigma(time=25.4)	0.5260347547452511	0.0858734645189065	383.8656896055671	6809.036561710386	1.0034989525643427
sigma(time=25.6)	0.5291922009860089	0.08462008317032187	462.0093835772812	6615.452942567308	1.0027759958348232
sigma(time=26.0)	0.5371166808665359	0.08385833862450767	742.5214733284929	5190.628029591508	1.0014406047797741
sigma(time=26.2)	0.5418257055436043	0.08432902472610612	961.7863731389564	4740.012371761308	1.000961398078954
sigma(time=26.4)	0.546989679900581	0.08531493211538344	1248.638428639659	4228.752030232101	1.0005829531410637
sigma(time=27.0)	0.5648672917517941	0.09072771730757986	1888.9619435691484	3799.9978255474643	1.0002225504179885
sigma(time=27.2)	0.5715073412584303	0.09313085557881622	2039.8932279840446	2998.11220466956	1.0007503387190868
sigma(time=27.6)	0.5856157878574538	0.0985329800925403	2303.8464208535247	2876.6527097442367	1.0021158650395603
sigma(time=28.2)	0.6084403843063132	0.10784199918275758	3194.907100366397	4466.41822797551	1.0066614949006583
sigma(time=28.4)	0.6163993754247097	0.11126982424851538	3689.5387548382473	4712.952459087692	1.0069302969188325
