panel	column	draw	log_group_sd	coordinate
1: region 1 intercept, rho=0.80	1. CP	51	-0.7226461601994167	-0.5030007919111148
1: region 1 intercept, rho=0.80	2. NCP	51	-0.7226461601994167	-1.036119646109567
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	51	-0.7226461601994167	-0.621010899199476
1: region 1 intercept, rho=0.80	1. CP	52	-0.3893265843721893	-0.4408096872860176
1: region 1 intercept, rho=0.80	2. NCP	52	-0.3893265843721893	-0.6506291504814433
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	52	-0.3893265843721893	-0.484828044988045
1: region 1 intercept, rho=0.80	1. CP	53	-0.17972599070322606	1.002832421082718
1: region 1 intercept, rho=0.80	2. NCP	53	-0.17972599070322606	1.200279454029318
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	53	-0.17972599070322606	1.0283186784765923
1: region 1 intercept, rho=0.80	1. CP	54	-0.42759928817310683	0.7156956079853092
1: region 1 intercept, rho=0.80	2. NCP	54	-0.42759928817310683	1.0975703424334418
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	54	-0.42759928817310683	0.7873193886748125
1: region 1 intercept, rho=0.80	1. CP	55	-0.30652019120247476	0.8883582744281152
1: region 1 intercept, rho=0.80	2. NCP	55	-0.30652019120247476	1.2070025273664413
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	55	-0.30652019120247476	0.9448997001699222
1: region 1 intercept, rho=0.80	1. CP	56	-0.6202880354871746	0.9963714390728973
1: region 1 intercept, rho=0.80	2. NCP	56	-0.6202880354871746	1.8527163794049293
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	56	-0.6202880354871746	1.1297990051107432
1: region 1 intercept, rho=0.80	1. CP	57	-0.6741055116360484	1.0937016410327167
1: region 1 intercept, rho=0.80	2. NCP	57	-0.6741055116360484	2.146145527826911
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	57	-0.6741055116360484	1.2588540521961642
1: region 1 intercept, rho=0.80	1. CP	58	-0.09679222928738132	0.5062047828113111
1: region 1 intercept, rho=0.80	2. NCP	58	-0.09679222928738132	0.5576511155101898
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	58	-0.09679222928738132	0.5128813103637481
1: region 1 intercept, rho=0.80	1. CP	59	0.25409253514574054	-0.47434455398300546
1: region 1 intercept, rho=0.80	2. NCP	59	0.25409253514574054	-0.3679111355842439
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	59	0.25409253514574054	-0.45316784987674263
1: region 1 intercept, rho=0.80	1. CP	60	-0.19197077501362145	0.058600307995218974
1: region 1 intercept, rho=0.80	2. NCP	60	-0.19197077501362145	0.07100219041449989
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	60	-0.19197077501362145	0.05579024454709017
1: region 1 intercept, rho=0.80	1. CP	61	-0.6288341408661207	-0.041007278196417335
1: region 1 intercept, rho=0.80	2. NCP	61	-0.6288341408661207	-0.07690598553605836
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	61	-0.6288341408661207	-0.06837000276225916
1: region 1 intercept, rho=0.80	1. CP	62	-0.4391011517957009	0.08582115558447473
1: region 1 intercept, rho=0.80	2. NCP	62	-0.4391011517957009	0.1331354054588383
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	62	-0.4391011517957009	0.07949144349542911
1: region 1 intercept, rho=0.80	1. CP	63	-0.28276326827091797	0.27820168229278136
1: region 1 intercept, rho=0.80	2. NCP	63	-0.28276326827091797	0.3691154969033688
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	63	-0.28276326827091797	0.28770747893680354
1: region 1 intercept, rho=0.80	1. CP	64	-0.7198932903481238	0.6192981630933518
1: region 1 intercept, rho=0.80	2. NCP	64	-0.7198932903481238	1.2721709533868428
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	64	-0.7198932903481238	0.7020535344684603
1: region 1 intercept, rho=0.80	1. CP	65	0.12309875057934577	0.008054156889895244
1: region 1 intercept, rho=0.80	2. NCP	65	0.12309875057934577	0.0071212950035675175
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	65	0.12309875057934577	0.009475772359371706
1: region 1 intercept, rho=0.80	1. CP	66	-0.6161375089171645	0.17265360382919673
