model	sampler	parameter	mean	sd	bulk_ess	mcse	split_rhat	tail_ess
brms CP	WHMC	total_intercept[710]	5656.266206823151	63.27464515484839	2510.114902308189	1.2596569694361472	0.9996273436381352	1582.3583582498047
brms CP	WHMC	total_intercept[711]	3735.328139891956	68.38807972740595	2864.0605774692467	1.274190557688307	0.9997225900271468	1681.722183744759
brms CP	WHMC	total_intercept[712]	6563.765223249601	76.15392508675058	1970.5234330966723	1.7142763061683757	1.0005720815545034	1728.163242419044
brms CP	WHMC	total_intercept[713]	9360.442265130212	76.43775966155383	2401.508506291325	1.5595163908474357	1.0014226816279275	1429.4556824489266
brms CP	WHMC	total_intercept[714]	5617.213320023576	80.73561042344144	1737.885656044442	1.9388428480218338	0.9999266273939881	1396.8519098377005
brms CP	WHMC	total_intercept[715]	6383.424510311076	90.50368668910552	2076.8988384325285	1.9983637131953886	1.002826181788764	1604.8257048252447
brms CP	WHMC	total_intercept[716]	6241.4046777591675	123.15519700728366	2126.0685444336973	2.6738282291019186	1.003220919637192	1622.1067883833675
brms CP	WHMC	total_intercept[717]	6954.554262466514	103.12699553506417	2030.2898748756425	2.3006140615624644	1.0007175778319548	1742.8893895023534
brms CP	WHMC	total_intercept[718]	6779.396197319387	115.84112017502551	2040.2767713427265	2.568433813137376	1.000402670855988	1383.2990840434861
brms CP	WHMC	total_intercept[719]	10156.532513140808	114.94157536862618	2411.523277295798	2.34054366590848	0.999828223890811	1810.7667066052857
brms CP	WHMC	total_intercept[720]	8770.331184674735	125.8299598048037	2428.3735514173595	2.5511783755802715	0.9998338780605326	1789.725695600942
brms CP	WHMC	total_load[701]	36.05582733423615	17.963155943050058	2838.357466672662	0.3373462222876934	1.0026097540349828	1613.436510869871
brms CP	WHMC	total_load[702]	22.413988199362677	11.208259766162891	2482.5288979863913	0.225210077261157	0.9997710015016295	1633.3329194542296
