model	sampler	parameter	difference	combined_mcse	difference_in_combined_mcse
brms S2Z CP	WHMC	total_load[701]	0.43347052559606425	0.5332267168312914	0.8129197429790653
brms S2Z CP	WHMC	total_load[702]	-0.1570735425709664	0.33483756705023787	-0.4691037028930497
brms S2Z CP	WHMC	total_load[703]	-0.4318615464323301	0.3457574305887033	-1.2490304133074501
brms S2Z CP	WHMC	total_load[704]	0.10457195788126228	0.3840798541200739	0.272266188292631
brms S2Z CP	WHMC	total_load[705]	-0.5101891193049966	0.4325434080087683	-1.17950963963056
brms S2Z CP	WHMC	total_load[706]	0.3168342694844526	0.40815955604163323	0.7762510145717003
brms S2Z CP	WHMC	total_load[707]	-0.4605438563300126	0.4560514318796491	-1.0098506969528582
brms S2Z CP	WHMC	total_load[708]	0.2358579323835599	0.47644881281469603	0.4950330991280935
brms S2Z CP	WHMC	total_load[709]	-0.3566581705347538	0.48739262582313286	-0.7317676789475667
brms S2Z CP	WHMC	total_load[710]	0.6266660276383984	0.5655425470765707	1.1080793671100257
brms S2Z CP	WHMC	total_load[711]	-0.1986013929364674	0.5730292398826029	-0.34658160371913144
brms S2Z CP	WHMC	total_load[712]	-0.05274134620322002	0.6386267857353006	-0.08258555291021001
brms S2Z CP	WHMC	total_load[713]	1.3721096684068002	0.6874286498314534	1.996003030631935
brms S2Z CP	WHMC	total_load[714]	0.5271922098029549	0.698192392299847	0.7550815729549599
brms S2Z CP	WHMC	total_load[715]	0.6110752912047559	0.7407216217297466	0.8249729362263811
brms S2Z CP	WHMC	total_load[716]	2.4723195875564556	1.0526924904190529	2.3485677061990646
brms S2Z CP	WHMC	total_load[717]	0.5978304104179699	0.8777082028381273	0.6811266073221668
brms S2Z CP	WHMC	total_load[718]	0.24839381584942544	1.008650447318181	0.24626352618973169
brms S2Z CP	WHMC	total_load[719]	0.17779765210574894	0.898367645688827	0.1979119049522558
brms S2Z CP	WHMC	total_load[720]	0.12280453110611234	1.0295531540098923	0.11927944723185452
brms S2Z NCP	Native Stan	log_tau_intercept	0.0088918400689737	0.013342421206302824	0.6664337702645218
brms S2Z NCP	Native Stan	log_tau_load	-0.01140466105621929	0.010789301912935161	-1.057034194450188
brms S2Z NCP	Native Stan	log_sigma_intercept	-0.00010028734656675198	0.0003400640984992434	-0.29490718664315313
brms S2Z NCP	Native Stan	log_sigma_subj_slope	0.0001165516313750975	6.303463148644492e-5	1.8490094829881092
brms S2Z NCP	Native Stan	total_intercept[701]	-0.13775103458578997	1.5633950515017903	-0.08811018971402458
brms S2Z NCP	Native Stan	total_intercept[702]	0.672463432458926	0.9883584045214461	0.6803841899685434
brms S2Z NCP	Native Stan	total_intercept[703]	1.594576648813927	1.0119386559601733	1.5757641428382043
brms S2Z NCP	Native Stan	total_intercept[704]	-0.15791396929671464	1.257480213716756	-0.1255796851307629
brms S2Z NCP	Native Stan	total_intercept[705]	2.4724092646565623	1.2434132874031132	1.988405053817806
brms S2Z NCP	Native Stan	total_intercept[706]	-0.6201583770307479	1.2666489674214183	-0.4896055600102338
brms S2Z NCP	Native Stan	total_intercept[707]	-1.7433511930357781	1.4450060315295357	-1.2064663779918239
brms S2Z NCP	Native Stan	total_intercept[708]	-0.09023858597538492	1.5082927327409816	-0.059828297263885014
brms S2Z NCP	Native Stan	total_intercept[709]	0.009430586625057913	1.6519678182360193	0.005708698753664552
brms S2Z NCP	Native Stan	total_intercept[710]	-2.068971843050349	1.7962939868211079	-1.1518002388416373
brms S2Z NCP	Native Stan	total_intercept[711]	2.2146506550379854	2.0080879448901325	1.1028653703506768
brms S2Z NCP	Native Stan	total_intercept[712]	-1.1006113293442468	2.1004529228229147	-0.5239876206628209
brms S2Z NCP	Native Stan	total_intercept[713]	-2.465373993936737	2.3686762823616245	-1.0408235233725998
brms S2Z NCP	Native Stan	total_intercept[714]	-2.080068012731317	2.3026931097332772	-0.9033196842163015
brms S2Z NCP	Native Stan	total_intercept[715]	0.7947591952115545	2.4860093422748437	0.31969276289376425
brms S2Z NCP	Native Stan	total_intercept[716]	-11.916463928529993	3.374958586584687	-3.5308474527353955
brms S2Z NCP	Native Stan	total_intercept[717]	0.08470130021214572	2.9678355650881376	0.02853975510251367
brms S2Z NCP	Native Stan	total_intercept[718]	-1.176550566955484	3.3228242030199113	-0.3540814966636482
brms S2Z NCP	Native Stan	total_intercept[719]	-5.1085138191610895	3.0654435219101157	-1.6664844035286324
brms S2Z NCP	Native Stan	total_intercept[720]	0.17890998073198716	3.5454805645525544	0.05046141911500392
brms S2Z NCP	Native Stan	total_load[701]	0.04955807483668195	0.515283689614619	0.09617629246861369
brms S2Z NCP	Native Stan	total_load[702]	-0.02329977228658464	0.32970393474956694	-0.07066877228590686
brms S2Z NCP	Native Stan	total_load[703]	-0.1676347408746075	0.33067414892316943	-0.5069484307149654
brms S2Z NCP	Native Stan	total_load[704]	0.2475976218020719	0.3862541415227354	0.6410225682654538
brms S2Z NCP	Native Stan	total_load[705]	-0.3523857231259271	0.38874651995024256	-0.9064665663657402
brms S2Z NCP	Native Stan	total_load[706]	0.29770818353438244	0.401419689010073	0.7416382197608447
brms S2Z NCP	Native Stan	total_load[707]	0.23174154786908474	0.4528599639269993	0.5117289368208343
brms S2Z NCP	Native Stan	total_load[708]	-0.13636610834825547	0.4695093752972234	-0.29044384526278894
brms S2Z NCP	Native Stan	total_load[709]	-0.4185746810273159	0.5051434596765715	-0.8286253598043553
brms S2Z NCP	Native Stan	total_load[710]	0.7783535644918835	0.5884521002211477	1.3227135466070534
brms S2Z NCP	Native Stan	total_load[711]	-0.5297427204280467	0.6417456221089209	-0.8254714986402129
brms S2Z NCP	Native Stan	total_load[712]	0.012391026757256896	0.662080382382382	0.01871529060062152
brms S2Z NCP	Native Stan	total_load[713]	1.4901076388270624	0.6996872327714828	2.129676759892702
brms S2Z NCP	Native Stan	total_load[714]	0.9551084545734909	0.691582731617727	1.3810472860410112
brms S2Z NCP	Native Stan	total_load[715]	0.7238588311144589	0.752167748728207	0.9623635583131371
brms S2Z NCP	Native Stan	total_load[716]	4.627318907259525	1.0457541239580446	4.424863169313375
brms S2Z NCP	Native Stan	total_load[717]	-0.6573357028222517	0.9737432255741164	-0.6750606171711113
brms S2Z NCP	Native Stan	total_load[718]	0.7088547334124371	1.0893155170088362	0.6507340824069865
brms S2Z NCP	Native Stan	total_load[719]	1.3814902982333663	0.8947713531865235	1.5439590162486816
brms S2Z NCP	Native Stan	total_load[720]	0.03416973915055621	1.0791148803357555	0.03166459824919164
brms S2Z NCP	WHMC	log_tau_intercept	0.01936296343720123	0.015408109951883048	1.2566734984153494
brms S2Z NCP	WHMC	log_tau_load	-0.013176995742091968	0.01026608075505505	-1.2835468623801323
