model	sampler	qoi	bulk_ess	mcse
brms S2Z CP	WHMC	total_load[719]	3459.9970272761716	0.5978457516462167
brms S2Z CP	WHMC	total_load[720]	2940.4890730742227	0.6749695379327874
brms S2Z NCP	Native Stan	population_intercept_at_mean_load	2052.151733955908	11.957471939515145
brms S2Z NCP	Native Stan	population_load	2023.0685873945865	0.32393971134580707
brms S2Z NCP	Native Stan	log_tau_intercept	149.97339845151416	0.013049014686866662
brms S2Z NCP	Native Stan	log_tau_load	502.3428846284195	0.009633954052655177
brms S2Z NCP	Native Stan	log_sigma_intercept	3683.747504131079	0.00024699149693128617
brms S2Z NCP	Native Stan	log_sigma_subj_slope	3192.41597042124	4.905893239097895e-5
brms S2Z NCP	Native Stan	total_intercept[701]	2806.3462947072253	1.010002490889646
brms S2Z NCP	Native Stan	total_intercept[702]	3198.1869144757675	0.6234359519032123
brms S2Z NCP	Native Stan	total_intercept[703]	2781.447878628677	0.7107579514778128
brms S2Z NCP	Native Stan	total_intercept[704]	2185.0112837657693	0.8583078149210351
brms S2Z NCP	Native Stan	total_intercept[705]	3214.5953408619325	0.8332054341076162
brms S2Z NCP	Native Stan	total_intercept[706]	2783.3959553291443	0.8867942835485118
brms S2Z NCP	Native Stan	total_intercept[707]	2655.145835550987	0.9625284940351786
brms S2Z NCP	Native Stan	total_intercept[708]	2610.3380616058207	1.0883115736602058
brms S2Z NCP	Native Stan	total_intercept[709]	2609.096217723365	1.1355120447657276
brms S2Z NCP	Native Stan	total_intercept[710]	3010.2283968432353	1.1709021734807634
brms S2Z NCP	Native Stan	total_intercept[711]	2067.403157694418	1.492373992139886
brms S2Z NCP	Native Stan	total_intercept[712]	2532.051762059052	1.4601157717889168
brms S2Z NCP	Native Stan	total_intercept[713]	2552.040573937661	1.5587718107066038
brms S2Z NCP	Native Stan	total_intercept[714]	2398.169625165443	1.673436979090203
brms S2Z NCP	Native Stan	total_intercept[715]	2885.2840097948892	1.6634074988424143
brms S2Z NCP	Native Stan	total_intercept[716]	2807.881767124859	2.34392650178704
brms S2Z NCP	Native Stan	total_intercept[717]	2840.345516064023	2.0329405945735464
brms S2Z NCP	Native Stan	total_intercept[718]	2395.201761494479	2.2964820296867883
brms S2Z NCP	Native Stan	total_intercept[719]	2855.074527624666	2.1687262915441434
brms S2Z NCP	Native Stan	total_intercept[720]	2537.5689988411673	2.506747834351263
brms S2Z NCP	Native Stan	total_load[701]	2698.1746760995143	0.3368665522064052
brms S2Z NCP	Native Stan	total_load[702]	3334.7199386867637	0.202926999738143
brms S2Z NCP	Native Stan	total_load[703]	3411.247935307832	0.2123960397988145
brms S2Z NCP	Native Stan	total_load[704]	3097.398002598536	0.24108563729414073
brms S2Z NCP	Native Stan	total_load[705]	4083.255591442469	0.23741713513848425
brms S2Z NCP	Native Stan	total_load[706]	3426.1807694169847	0.2560174237860856
brms S2Z NCP	Native Stan	total_load[707]	3444.122557634915	0.27810938164754867
brms S2Z NCP	Native Stan	total_load[708]	3146.4784084265348	0.3323634054032433
brms S2Z NCP	Native Stan	total_load[709]	3340.9951334090692	0.32266984574576624
brms S2Z NCP	Native Stan	total_load[710]	3287.1966826912267	0.3704180524934463
brms S2Z NCP	Native Stan	total_load[711]	2129.992061978682	0.4767355645663529
brms S2Z NCP	Native Stan	total_load[712]	2890.898229735246	0.4419056673603157
brms S2Z NCP	Native Stan	total_load[713]	3950.276318395102	0.4067891573021399
brms S2Z NCP	Native Stan	total_load[714]	2742.154596952208	0.4948966415069316
brms S2Z NCP	Native Stan	total_load[715]	3408.12036889147	0.4681480855540363
brms S2Z NCP	Native Stan	total_load[716]	2919.424211827972	0.7007961693381004
brms S2Z NCP	Native Stan	total_load[717]	2622.7782538968013	0.6925745258312452
brms S2Z NCP	Native Stan	total_load[718]	2176.1224651113794	0.775497166978904
brms S2Z NCP	Native Stan	total_load[719]	3609.8473492941653	0.5924279622234135
brms S2Z NCP	Native Stan	total_load[720]	2551.426369771931	0.7483936832760785
brms S2Z NCP	WHMC	population_intercept_at_mean_load	2052.9249753056733	12.56905222789714
brms S2Z NCP	WHMC	population_load	2070.8222326746954	0.3326707493844934
brms S2Z NCP	WHMC	log_tau_intercept	88.33167026434374	0.015154749517592827
brms S2Z NCP	WHMC	log_tau_load	570.1812154479792	0.009044138930241863
brms S2Z NCP	WHMC	log_sigma_intercept	4194.498933666648	0.0002332623466444231
brms S2Z NCP	WHMC	log_sigma_subj_slope	3800.2453180541834	4.4585734230650624e-5
brms S2Z NCP	WHMC	total_intercept[701]	1653.3530212943363	1.305783195611845
brms S2Z NCP	WHMC	total_intercept[702]	2452.006619916413	0.6941479058522906
brms S2Z NCP	WHMC	total_intercept[703]	2312.3702281857	0.7783480043558072
brms S2Z NCP	WHMC	total_intercept[704]	2537.930702574195	0.7772795721602759
brms S2Z NCP	WHMC	total_intercept[705]	2249.3159846016997	0.9647518557484297
brms S2Z NCP	WHMC	total_intercept[706]	2579.8858800766075	0.9330977893987275
brms S2Z NCP	WHMC	total_intercept[707]	2382.824640657589	1.0081195272913959
brms S2Z NCP	WHMC	total_intercept[708]	2545.791484695917	1.1000793213296831
brms S2Z NCP	WHMC	total_intercept[709]	2022.453102049501	1.3240573838300949
brms S2Z NCP	WHMC	total_intercept[710]	2376.3806683614944	1.3100396664423903
brms S2Z NCP	WHMC	total_intercept[711]	1834.862736800576	1.5342854070434724
brms S2Z NCP	WHMC	total_intercept[712]	2839.6463393835506	1.414752336520049
