coordinate	candidate	native_loss	expected_loss	error
30	0.3	-0.5458231386390109	-0.5458231386390103	5.551115123125783e-16
30	0.4	-0.5527255296204733	-0.5527255296204732	1.1102230246251565e-16
30	0.5	-0.558516552229462	-0.5585165522294607	1.2212453270876722e-15
30	0.6	-0.5631538304101803	-0.5631538304101809	5.551115123125783e-16
30	0.7	-0.5666033435519567	-0.5666033435519571	3.3306690738754696e-16
30	0.8	-0.5688399011961913	-0.5688399011961909	4.440892098500626e-16
30	0.9	-0.5698474890069901	-0.5698474890069899	2.220446049250313e-16
30	1.0	-0.5696194784749782	-0.5696194784749783	1.1102230246251565e-16
31	0.0	-0.4760909725246809	-0.4760909725246814	4.996003610813204e-16
31	0.1	-0.4937739497423093	-0.4937739497423087	6.106226635438361e-16
31	0.2	-0.5105825335995836	-0.5105825335995833	3.3306690738754696e-16
31	0.3	-0.5260889961595302	-0.5260889961595302	0.0
31	0.4	-0.5398159160494024	-0.539815916049403	6.661338147750939e-16
31	0.5	-0.5512575404527643	-0.5512575404527641	2.220446049250313e-16
31	0.6	-0.5599124298941394	-0.5599124298941388	5.551115123125783e-16
31	0.7	-0.5653257480768753	-0.5653257480768759	5.551115123125783e-16
31	0.8	-0.5671363022712497	-0.56713630227125	3.3306690738754696e-16
31	0.9	-0.5651204353243532	-0.5651204353243524	7.771561172376096e-16
31	1.0	-0.559223561369444	-0.5592235613694437	2.220446049250313e-16
32	0.0	-0.3098298498978406	-0.30982984989784024	3.885780586188048e-16
32	0.1	-0.3430563115277209	-0.3430563115277208	1.1102230246251565e-16
32	0.2	-0.3794249182497305	-0.3794249182497307	1.6653345369377348e-16
32	0.3	-0.4184051564767573	-0.41840515647675747	1.6653345369377348e-16
32	0.4	-0.45860456823682083	-0.4586045682368204	4.440892098500626e-16
32	0.5	-0.4973255859272516	-0.4973255859272517	5.551115123125783e-17
32	0.6	-0.5303379319273329	-0.5303379319273326	3.3306690738754696e-16
32	0.7	-0.5524217040479085	-0.5524217040479084	1.1102230246251565e-16
32	0.8	-0.5590869391421742	-0.5590869391421739	3.3306690738754696e-16
32	0.9	-0.5487814539171608	-0.5487814539171617	8.881784197001252e-16
32	1.0	-0.5237930044618245	-0.5237930044618249	3.3306690738754696e-16
33	0.0	-0.49050214671563896	-0.49050214671559705	4.191091917959966e-14
33	0.1	-0.5065843076746044	-0.5065843076745639	4.0523140398818214e-14
33	0.2	-0.5217180844720618	-0.5217180844720225	3.930189507173054e-14
33	0.3	-0.5357418345185504	-0.5357418345185124	3.7969627442180354e-14
33	0.4	-0.5484999476944121	-0.5484999476943755	3.6637359812630166e-14
33	0.5	-0.5598472838190574	-0.5598472838190236	3.375077994860476e-14
33	0.6	-0.5696536206964107	-0.5696536206963775	3.319566843629218e-14
33	0.7	-0.5778078503644762	-0.5778078503644466	2.964295475749168e-14
33	0.8	-0.5842216522856589	-0.5842216522856317	2.7200464103316335e-14
33	0.9	-0.5888323918165204	-0.5888323918164959	2.4424906541753444e-14
33	1.0	-0.5916050407996213	-0.5916050407995994	2.1871393585115584e-14
34	0.0	-0.48498013155523895	-0.484980131555239	5.551115123125783e-17
34	0.1	-0.5020093312683591	-0.5020093312683582	8.881784197001252e-16
34	0.2	-0.5180070532845759	-0.5180070532845759	0.0
34	0.3	-0.532737231996857	-0.5327372319968566	3.3306690738754696e-16
34	0.4	-0.5459633831934637	-0.5459633831934643	5.551115123125783e-16
34	0.5	-0.5574569826067748	-0.5574569826067741	6.661338147750939e-16
34	0.6	-0.5670067491090387	-0.5670067491090385	2.220446049250313e-16
34	0.7	-0.5744281982625031	-0.5744281982625025	6.661338147750939e-16
