prior	arm	qoi	bulk_ess	mcse	mean	sd
Gaussian	Post-hoc position / WHMC	total_load[714]	1949.716226989071	0.6023601611799507	56.00601755084051	26.64159846027827
Gaussian	Post-hoc position / WHMC	total_load[715]	1972.4578746930033	0.6676894080801332	17.226247142697193	29.582783708557862
Gaussian	Post-hoc position / WHMC	total_load[716]	2248.0531958276233	0.8233005333221716	24.164617941688842	39.089100609916954
Gaussian	Post-hoc position / WHMC	total_load[717]	2050.2802244378813	0.7319027337658137	151.36373564892688	33.10576186157559
Gaussian	Post-hoc position / WHMC	total_load[718]	2381.054384023331	0.7336578492460156	170.66459037046846	35.714863804051745
Gaussian	Post-hoc position / WHMC	total_load[719]	2142.059296702615	0.8057057874572717	27.567359715476027	37.287896859972115
Gaussian	Post-hoc position / WHMC	total_load[720]	2592.8428457452715	0.8149746603200929	103.24006581148136	40.30021569086084
Gaussian	Post-hoc gradient / WHMC	population_intercept_at_mean_load	2066.5943649318683	12.500587360622259	5630.32870553414	567.7539399503546
Gaussian	Post-hoc gradient / WHMC	population_load	2101.0464134571657	0.3354351937506587	59.22161505426947	15.380477210671486
Gaussian	Post-hoc gradient / WHMC	log_tau_intercept	3200.1579789373045	0.0030552342814138484	7.818118082327597	0.1631343578037634
Gaussian	Post-hoc gradient / WHMC	log_tau_load	2537.757488369471	0.004418047111820844	4.100334256097096	0.22196228521170402
Gaussian	Post-hoc gradient / WHMC	log_sigma_intercept	4899.23723873635	0.00022526209594127383	6.051312898788641	0.015884241785120823
Gaussian	Post-hoc gradient / WHMC	log_sigma_subj_slope	2928.2119601472623	5.188582571575491e-5	0.07824630312248129	0.0028088118076915877
Gaussian	Post-hoc gradient / WHMC	total_intercept[701]	2567.5491995253915	1.0338671302411513	614.699737144386	52.57850557390264
Gaussian	Post-hoc gradient / WHMC	total_intercept[702]	1799.4664483901067	0.819370792190745	1553.6319610796013	34.65403408594889
Gaussian	Post-hoc gradient / WHMC	total_intercept[703]	1768.4634518116577	0.8710781353234391	1834.6389176319417	36.562714936514546
Gaussian	Post-hoc gradient / WHMC	total_intercept[704]	4284.982746933288	0.6228906486586959	4816.547348341441	40.654684455910214
Gaussian	Post-hoc gradient / WHMC	total_intercept[705]	2669.386776134727	0.9026725970475078	4118.707553353118	46.75061371112363
Gaussian	Post-hoc gradient / WHMC	total_intercept[706]	2717.067817110629	0.8751560976971864	5508.753192458586	45.59014562557552
Gaussian	Post-hoc gradient / WHMC	total_intercept[707]	2799.1750927859543	0.9212860368191637	5382.776594977576	48.937656327666325
Gaussian	Post-hoc gradient / WHMC	total_intercept[708]	1264.9092757442656	1.5414389652226848	5019.889635941567	54.8251033504299
Gaussian	Post-hoc gradient / WHMC	total_intercept[709]	4024.291132480906	0.9296413139704708	4325.468247676455	59.11346327433999
Gaussian	Post-hoc gradient / WHMC	total_intercept[710]	2080.1614682479717	1.368009428451546	5654.828011708238	62.46217821929594
Gaussian	Post-hoc gradient / WHMC	total_intercept[711]	2591.854128873909	1.336693531628916	3735.5498709940434	68.21082249373612
Gaussian	Post-hoc gradient / WHMC	total_intercept[712]	2870.512629218633	1.3889391444721435	6565.304072055596	74.70876287925942
Gaussian	Post-hoc gradient / WHMC	total_intercept[713]	3682.4980592748616	1.2312129455935534	9359.712635648071	74.58496129578015
