arm	parameter	mean	baseline_mean	mcse	baseline_mcse	z
ordinary_posthoc_position	population_mean	-49.90017455442883	-49.70074734560424	0.17244612534224438	0.19693232219838175	0.7618609533185167
ordinary_posthoc_position	between_trial_sd	14.12740059818386	14.497537437984272	0.19339539857692653	0.22105931983408203	1.2601867906079338
ordinary_posthoc_position	trial_1_total	-49.90724789375223	-49.8845254497704	0.08636402640621063	0.08246017568582459	0.1902914406326379
ordinary_posthoc_position	trial_2_total	-48.72106822150985	-48.748245191127005	0.05861552427497084	0.05598593673291054	0.335283032093332
ordinary_posthoc_position	trial_3_total	-38.62936860001228	-38.620723976498944	0.060190786754859345	0.061742174501994755	0.10025471600898564
ordinary_posthoc_position	trial_4_total	-48.520799917375136	-48.29817313543649	0.13122538110812615	0.138420807215136	1.167195356953137
ordinary_posthoc_position	trial_5_total	-63.4297174535754	-63.862803661348785	0.26050359477012497	0.2839706149578454	1.1238517622841153
ordinary_posthoc_position	trial_6_total	-51.44096397527954	-51.587565003208375	0.1022711024458521	0.10265477576846316	1.0117062832191543
rbest_cp_native	population_mean	-49.67694481578438	-49.70074734560424	0.1451075368670626	0.19693232219838175	0.09730443500410652
rbest_cp_native	between_trial_sd	14.504331451350517	14.497537437984272	0.267014398591263	0.22105931983408203	0.019599246170270937
rbest_cp_native	trial_1_total	-49.917550809972624	-49.8845254497704	0.11509577437789496	0.08246017568582459	0.23325229424081256
rbest_cp_native	trial_2_total	-48.760615341479564	-48.748245191127005	0.09016171695214584	0.05598593673291054	0.11655667068136556
rbest_cp_native	trial_3_total	-38.50001072362359	-38.620723976498944	0.11963584394135453	0.061742174501994755	0.8966397061876228
rbest_cp_native	trial_4_total	-48.44930702999546	-48.29817313543649	0.16995207027484696	0.138420807215136	0.6895125524887493
rbest_cp_native	trial_5_total	-63.89302424718451	-63.862803661348785	0.36213678148103917	0.2839706149578454	0.06566863493269269
rbest_cp_native	trial_6_total	-51.2502088200776	-51.587565003208375	0.13011302702672645	0.10265477576846316	2.035541102731385
rbest_ncp_native	population_mean	-49.70074734560424	-49.70074734560424	0.19693232219838175	0.19693232219838175	0.0
rbest_ncp_native	between_trial_sd	14.497537437984272	14.497537437984272	0.22105931983408203	0.22105931983408203	0.0
rbest_ncp_native	trial_1_total	-49.8845254497704	-49.8845254497704	0.08246017568582459	0.08246017568582459	0.0
rbest_ncp_native	trial_2_total	-48.748245191127005	-48.748245191127005	0.05598593673291054	0.05598593673291054	0.0
rbest_ncp_native	trial_3_total	-38.620723976498944	-38.620723976498944	0.061742174501994755	0.061742174501994755	0.0
rbest_ncp_native	trial_4_total	-48.29817313543649	-48.29817313543649	0.138420807215136	0.138420807215136	0.0
rbest_ncp_native	trial_5_total	-63.862803661348785	-63.862803661348785	0.2839706149578454	0.2839706149578454	0.0
rbest_ncp_native	trial_6_total	-51.587565003208375	-51.587565003208375	0.10265477576846316	0.10265477576846316	0.0
s2z_cp_native	population_mean	-50.031526622003106	-49.70074734560424	0.10798681360942558	0.19693232219838175	1.4727726940339794
s2z_cp_native	between_trial_sd	14.844935668723972	14.497537437984272	0.1867598042346101	0.22105931983408203	1.2004509121151006
s2z_cp_native	trial_1_total	-50.006795143070505	-49.8845254497704	0.09600819997525699	0.08246017568582459	0.9661059958990419
s2z_cp_native	trial_2_total	-48.91033907585466	-48.748245191127005	0.05832408221046899	0.05598593673291054	2.0049636346950246
s2z_cp_native	trial_3_total	-38.41583130057978	-38.620723976498944	0.06548248717426801	0.061742174501994755	2.276577946915132
s2z_cp_native	trial_4_total	-48.515722508813084	-48.29817313543649	0.16361417525982228	0.138420807215136	1.0151027414244258
s2z_cp_native	trial_5_total	-64.40594981645397	-63.862803661348785	0.31431925934643723	0.2839706149578454	1.2822184817443587
s2z_cp_native	trial_6_total	-51.69325714714151	-51.587565003208375	0.11677017055935685	0.10265477576846316	0.6797902865469448
s2z_ncp_native	population_mean	-49.750995991971	-49.70074734560424	0.11832781979071649	0.19693232219838175	0.21871269363499168
