package	version	tree_hash	source	git_sha
LoggingExtras	1.2.0	f00544d95982ea270145636c181ceda21c4e2575	/home/n/.julia/packages/LoggingExtras/IICqi	
MCMCDiagnosticTools	0.3.19	345bedeaf7d650f673fefa042dd8384c63de6c68	/home/n/.julia/packages/MCMCDiagnosticTools/KPVrh	
MLJModelInterface	1.12.1	c275fae2e693206b4527dd9d2382aa15359ef3ed	/home/n/.julia/packages/MLJModelInterface/EmxvJ	
MacroTools	0.5.16	1e0228a030642014fe5cfe68c2c0a818f9e3f522	/home/n/.julia/packages/MacroTools/Ar0jT	
MappedArrays	0.4.3	0ee4497a4e80dbd29c058fcee6493f5219556f40	/home/n/.julia/packages/MappedArrays/WoTkJ	
Markdown	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Markdown	
MbedTLS_jll	2.28.1010+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/MbedTLS_jll	
Missings	1.2.0	ec4f7fbeab05d7747bdf98eb74d130a2a2ed298d	/home/n/.julia/packages/Missings/MBhnW	
MistyClosures	2.1.0	d1a692e293c2a0dc8fda79c04cad60582f3d4de3	/home/n/.julia/packages/MistyClosures/2vtLL	
Mmap	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Mmap	
MozillaCACerts_jll	2025.12.2	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/MozillaCACerts_jll	
MutatingFunctions	0.1.0	nothing	/home/n/.local/state/kb-agents-worktrees/BayesianRegressionModels-docs-eight-schools/test/.bootstrap/mutatingfunctions-4fc41b1c7b77	4fc41b1c7b774133ceaacc4ff3c34c67b15b87b2
NLSolversBase	8.0.1	f96d38936d92d610318dec4d3b5ef37b0373c20f	/home/n/.julia/packages/NLSolversBase/THQGs	
NaNMath	1.1.4	dbd2e8cd2c1c27f0b584f6661b4309609c5a685e	/home/n/.julia/packages/NaNMath/1MJdn	
NetworkOptions	1.2.0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/NetworkOptions	
ObjectFile	0.5.1	23c4d109603f7a7bfe888c1f63c5ab7be6183d0b	/home/n/.julia/packages/ObjectFile/CY2MP	
OhMyThreads	0.8.6	9a07c25c438110500d871fd5309649ec6791ef57	/home/n/.julia/packages/OhMyThreads/wX0Fh	
OnlineStatsBase	1.7.3	55c519dfadb4d47970f5cd13bab27e640731598e	/home/n/.julia/packages/OnlineStatsBase/IxYQe	
OpenBLAS_jll	0.3.23+5	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/OpenBLAS_jll	
OpenLibm_jll	0.8.5+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/OpenLibm_jll	
OpenSpecFun_jll	0.5.6+0	1346c9208249809840c91b26703912dff463d335	/home/n/.julia/packages/OpenSpecFun_jll/4QIOW	
Optim	2.3.1	ece78ffe4fcee487b858ecaf184b8d7c2a79e015	/home/n/.julia/packages/Optim/01BGy	
Optimisers	0.4.9	b6a586b581eccc60a181145ffd4382099e32e2df	/home/n/.julia/packages/Optimisers/tMaaf	
Optimization	5.9.1	b4d47691ca17e5f8e26cc7e453f6ab92d480285f	/home/n/.julia/packages/Optimization/545Qe	
OptimizationBase	5.6.1	c390a9e18ec082cee22136a42f50b208b8312d0b	/home/n/.julia/packages/OptimizationBase/TvAnm	
OptimizationOptimJL	0.4.21	6bc626d531967889260563d7cd42294047fd91e8	/home/n/.julia/packages/OptimizationOptimJL/qQFV2	
OrderedCollections	1.8.2	94ba93778373a53bfd5a0caaf7d809c445292ff4	/home/n/.julia/packages/OrderedCollections/MglBA	
OutputSignatures	0.1.0	nothing	/home/n/.local/state/kb-agents-worktrees/BayesianRegressionModels-docs-eight-schools/test/.bootstrap/outputsignatures-121de3194f02	121de3194f02044e00bac0d11019a93458ddb63a
PDMats	0.11.41	123266c25174ef6c8d4718920abc206452cf8de6	/home/n/.julia/packages/PDMats/ZCpqF	
PSIS	0.9.10	554bfcb2e56a9928b793a3c99f1d16e324c79ee0	/home/n/.julia/packages/PSIS/a8uY5	
Parsers	3.0.0	663e8b48b789916221e0765393b289ca6c88f24e	/home/n/.julia/packages/Parsers/pJXgH	
PartitionedDistributions	0.1.0	621944b594bec8df388aeecd2d694824cbe71ecd	/home/n/.julia/packages/PartitionedDistributions/hi5b4	
Pathfinder	0.10.7	cc8cd91091593ad0d7ad0a56730825e5358b9362	/home/n/.julia/packages/Pathfinder/4L3jq	
Pkg	1.10.0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg	
PositiveFactorizations	0.2.4	17275485f373e6673f7e7f97051f703ed5b15b20	/home/n/.julia/packages/PositiveFactorizations/BN7VB	
PreallocationTools	1.7.1	cd00e28071a75c98664663f87c2ae447d25c0503	/home/n/.julia/packages/PreallocationTools/dNQ2d	
PrecompileTools	1.2.1	5aa36f7049a63a1528fe8f7c3f2113413ffd4e1f	/home/n/.julia/packages/PrecompileTools/L8A3n	
Preferences	1.6.0	5005266de4bfe50e53ff44a5cb5c540b6e47a254	/home/n/.julia/packages/Preferences/DwMOj	
Printf	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Printf	
ProgressLogging	0.1.6	f0803bc1171e455a04124affa9c21bba5ac4db32	/home/n/.julia/packages/ProgressLogging/mcUt5	
ProgressMeter	1.11.0	fbb92c6c56b34e1a2c4c36058f68f332bec840e7	/home/n/.julia/packages/ProgressMeter/N660J	
PtrArrays	1.4.0	4fbbafbc6251b883f4d2705356f3641f3652a7fe	/home/n/.julia/packages/PtrArrays/m7fuD	
QuadGK	2.11.3	5e8e8b0ab68215d7a2b14b9921a946fee794749e	/home/n/.julia/packages/QuadGK/5mgi5	
REPL	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/REPL	
Random	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Random	
Random123	1.7.1	dbe5fd0b334694e905cb9fda73cd8554333c46e2	/home/n/.julia/packages/Random123/QDdNH	
RandomNumbers	1.6.0	c6ec94d2aaba1ab2ff983052cf6a606ca5985902	/home/n/.julia/packages/RandomNumbers/EmdvO	
RecipesBase	1.3.4	5c3d09cc4f31f5fc6af001c250bf1278733100ff	/home/n/.julia/packages/RecipesBase/BRe07	
RecursiveArrayTools	4.5.1	775b6023c34c401e35b9a159568d2f6d051280d5	/home/n/.julia/packages/RecursiveArrayTools/9DBPt	
Reexport	1.2.2	45e428421666073eab6f2da5c9d310d99bb12f9b	/home/n/.julia/packages/Reexport/OxbHO	
Requires	1.3.1	62389eeff14780bfe55195b7204c0d8738436d64	/home/n/.julia/packages/Requires/1eCOK	
Rmath	0.9.0	5b3d50eb374cea306873b371d3f8d3915a018f0b	/home/n/.julia/packages/Rmath/SBB4Z	
Rmath_jll	0.5.2+0	6d40b2fe70437b01397d2a4d5b020008da4e7019	/home/n/.julia/packages/Rmath_jll/Ad6Tb	
Roots	3.0.8	4db094d5e079abbda658acfe1c4d098430417717	/home/n/.julia/packages/Roots/is6NK	
RuntimeGeneratedFunctions	0.5.26	1719b26eee2c5e40d4b41c647b91dbaac1dcbf05	/home/n/.julia/packages/RuntimeGeneratedFunctions/xVoUB	
SHA	0.7.0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/SHA	
SSMProblems	0.6.1	cbf723e4c486375cf91236db53a7beefe8291951	/home/n/.julia/packages/SSMProblems/ZMavr	
SciMLBase	3.55.0	8a14bac10be51ecf8cb167e483e39c068ca24bfd	/home/n/.julia/packages/SciMLBase/1DcFZ	
SciMLLogging	2.1.0	3aafee7edc2ec7e71f50dcc6816cb031fac390a0	/home/n/.julia/packages/SciMLLogging/zP0QP	
SciMLOperators	1.30.1	9eba48f738160e04268c0770e01dae2451199bc2	/home/n/.julia/packages/SciMLOperators/g0aVc	
SciMLPublic	1.3.0	74685afb51732a464fbce79a72708f7c4203ceb7	/home/n/.julia/packages/SciMLPublic/hI11w	
SciMLStructures	1.10.5	5c2f9dbf6f07eea6bc9e93f117b00b7939a79f9e	/home/n/.julia/packages/SciMLStructures/YPjs4	
ScientificTypesBase	3.1.0	e785eaa35a0f5518a388f9010e66fda64ea95ede	/home/n/.julia/packages/ScientificTypesBase/9YgOY	
ScopedValues	1.6.2	67a144433c4ce877ee6d1ada69a124d6b1ecf7be	/home/n/.julia/packages/ScopedValues/sILa0	
Scratch	1.3.0	9b81b8393e50b7d4e6d0a9f14e192294d3b7c109	/home/n/.julia/packages/Scratch/tDtSY	
Serialization	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Serialization	
Setfield	1.1.2	c5391c6ace3bc430ca630251d02ea9687169ca68	/home/n/.julia/packages/Setfield/ZezIj	
Sockets	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Sockets	
SortingAlgorithms	1.2.3	13cd91cc9be159e3f4d95b857fa2aa383b53772a	/home/n/.julia/packages/SortingAlgorithms/ZonD6	
SparseArrays	1.10.0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/SparseArrays	
SparseConnectivityTracer	1.2.3	5c127b6b5e36e1ba38556b578c6346b2375ec0b4	/home/n/.julia/packages/SparseConnectivityTracer/EqUyV	
SparseMatrixColorings	0.4.28	63e1776f40bbd5e7394edce08e62f852b1384baf	/home/n/.julia/packages/SparseMatrixColorings/jDQiY	
SpecialFunctions	2.9.0	429071b23f4c9a13fb6582f807cc2ef454082408	/home/n/.julia/packages/SpecialFunctions/EJiJa	
StableTasks	0.1.7	c4f6610f85cb965bee5bfafa64cbeeda55a4e0b2	/home/n/.julia/packages/StableTasks/YtV0L	
StanBlocks	0.2.1	nothing	/home/n/.local/state/kb-agents-worktrees/BayesianRegressionModels-docs-eight-schools/test/.bootstrap/stanblocks-bec23bc3c523	bec23bc3c52303ebde60a026af48c435e4c81330
StanLogDensityProblems	0.1.13	5f78ad0a1fb966e4d00a9699afd30ad7cdcabc5d	/home/n/.julia/packages/StanLogDensityProblems/YRaN5	
StaticArrays	1.9.20	e206cf4850fd7ac4255ffd2b98922f563e18ac53	/home/n/.julia/packages/StaticArrays/k7bbZ	
StaticArraysCore	1.4.4	6ab403037779dae8c514bad259f32a447262455a	/home/n/.julia/packages/StaticArraysCore/MoJEf	
StatisticalTraits	3.5.0	89f86d9376acd18a1a4fbef66a56335a3a7633b8	/home/n/.julia/packages/StatisticalTraits/ZxorS	
Statistics	1.10.0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Statistics	
StatsAPI	1.8.0	178ed29fd5b2a2cfc3bd31c13375ae925623ff36	/home/n/.julia/packages/StatsAPI/b8dYo	
StatsBase	0.34.13	adb9da019510162e67a4493fc235c23203d8b09e	/home/n/.julia/packages/StatsBase/TkBxP	
StatsFuns	1.5.3	0aa97471d55945556e8d2859568b8317cef98351	/home/n/.julia/packages/StatsFuns/wsqZD	
Strided	2.6.4	5fa7f6845c91e6e351880cee67a9efc3b892bd3b	/home/n/.julia/packages/Strided/yVKLF	
StridedViews	0.5.2	21dc3942c478661f72c527ff5d67baa98e555372	/home/n/.julia/packages/StridedViews/MHBDj	
StructIO	0.3.1	c581be48ae1cbf83e899b14c07a807e1787512cc	/home/n/.julia/packages/StructIO/c2JPj	
StructUtils	2.8.5	2d0fc55c61321ba245c47be599570d11bac50303	/home/n/.julia/packages/StructUtils/019BB	
SuiteSparse	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/SuiteSparse	
SuiteSparse_jll	7.2.1+1	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/SuiteSparse_jll	
SymbolicIndexingInterface	0.3.55	7eb6da9656581ac9fbffaef3ef7950a090a5002a	/home/n/.julia/packages/SymbolicIndexingInterface/faxpV	
TOML	1.0.3	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/TOML	
TSVD	0.4.4	c39caef6bae501e5607a6caf68dd9ac6e8addbcb	/home/n/.julia/packages/TSVD/JLekd	
TableTraits	1.0.1	c06b2f539df1c6efa794486abfb6ed2022561a39	/home/n/.julia/packages/TableTraits/o8VMV	
Tables	1.14.0	a94d9bdda1b7bed0046cea645639ab3f62196fac	/home/n/.julia/packages/Tables/qGyu7	
Tar	1.10.0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Tar	
