school	centeredness	loss	admissible
4	0.34	0.024389584973528444	true
4	0.35	0.029368278315412222	true
4	0.36	0.034470789240014676	true
4	0.37	0.03969531421451522	true
4	0.38	0.04504011104830391	true
4	0.39	0.050503495975966595	true
4	0.4	0.05608384091420754	true
4	0.41	0.061779570880214074	true
4	0.42	0.06758916155999506	true
4	0.43	0.07351113701616263	true
4	0.44	0.07954406752547788	true
4	0.45	0.0856865675372599	true
4	0.46	0.09193729374445225	true
4	0.47	0.0982949432597961	true
4	0.48	0.10475825189013654	true
4	0.49	0.11132599250243008	true
4	0.5	0.11799697347550331	true
4	0.51	0.12477003723206703	true
4	0.52	0.13164405884589464	true
4	0.53	0.13861794471944922	true
4	0.54	0.1456906313275888	true
4	0.55	0.1528610840232939	true
4	0.56	0.16012829590165056	true
4	0.57	0.16749128671858876	true
4	0.58	0.17494910186112156	true
4	0.59	0.18250081136605595	true
4	0.6	0.1901455089843534	true
4	0.61	0.1978823112885103	true
4	0.62	0.20571035682050703	true
4	0.63	0.21362880527803618	true
4	0.64	0.2216368367368713	true
4	0.65	0.22973365090738163	true
4	0.66	0.23791846642332048	true
4	0.67	0.24619052016114507	true
4	0.68	0.25454906658822607	true
4	0.69	0.2629933771384184	true
4	0.7	0.27152273961355555	true
4	0.71	0.28013645760951644	true
4	0.72	0.2888338499656061	true
4	0.73	0.2976142502360617	true
4	0.74	0.306477006182563	true
4	0.75	0.3154214792867096	true
4	0.76	0.32444704428146953	true
4	0.77	0.3335530887006789	true
4	0.78	0.34273901244571725	true
4	0.79	0.35200422736853654	true
4	0.8	0.36134815687027133	true
4	0.81	0.3707702355146998	true
4	0.82	0.3802699086558654	true
4	0.83	0.3898466320792149	true
4	0.84	0.39949987165563317	true
4	0.85	0.40922910300780624	true
4	0.86	0.41903381118835425	true
4	0.87	0.42891349036922877	true
4	0.88	0.43886764354188024	true
4	0.89	0.4488957822277343	true
4	0.9	0.4589974261985448	true
4	0.91	0.46917210320620373	true
4	0.92	0.4794193487216242	true
4	0.93	0.48973870568231703	true
4	0.94	0.5001297242483195	true
4	0.95	0.5105919615661347	true
4	0.96	0.5211249815403735	true
4	0.97	0.5317283546127937	true
4	0.98	0.5424016575484557	true
4	0.99	0.5531444732287253	true
4	1.0	0.5639563904508651	true
5	0.0	-0.08086413268271274	true
5	0.01	-0.08220990154863317	true
5	0.02	-0.08329485017948245	true
5	0.03	-0.08412722081770307	true
5	0.04	-0.08471477166620453	true
5	0.05	-0.08506481418457189	true
5	0.06	-0.08518424711871359	true
5	0.07	-0.08507958754809311	true
5	0.08	-0.08475699921523736	true
5	0.09	-0.0842223183826468	true
5	0.1	-0.08348107744298786	true
5	0.11	-0.0825385264898333	true
5	0.12	-0.08139965303847581	true
5	0.13	-0.0800692000695867	true
5	0.14	-0.07855168255281657	true
5	0.15	-0.07685140259289208	true
5	0.16	-0.07497246332732117	true
5	0.17	-0.0729187816924807	true
5	0.18	-0.07069410016357813	true
5	0.19	-0.06830199756369339	true
5	0.2	-0.0657458990277723	true
5	0.21	-0.06302908519897446	true
5	0.22	-0.060154700727137744	true
5	0.23	-0.057125762132214736	true
5	0.24	-0.053945165089326175	true
5	0.25	-0.05061569118648265	true
5	0.26	-0.04714001420100064	true
5	0.27	-0.043520705936125476	true
5	0.28	-0.039760241655333595	true
5	0.29	-0.035861005148140085	true
5	0.3	-0.0318252934579952	true
5	0.31	-0.027655321299923208	true
5	0.32	-0.023353225192944166	true
