panel	column	draw	log_group_sd	coordinate
1: region 6 intercept, rho=0.99	2. NCP	59	-0.7372677058704751	1.1374077816823323
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	59	-0.7372677058704751	0.5478800092208234
1: region 6 intercept, rho=0.99	1. CP	60	-0.8940309487716783	0.4976765700605745
1: region 6 intercept, rho=0.99	2. NCP	60	-0.8940309487716783	1.216801966536003
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	60	-0.8940309487716783	0.502263856418615
1: region 6 intercept, rho=0.99	1. CP	61	-0.403443636807875	0.5423737495009516
1: region 6 intercept, rho=0.99	2. NCP	61	-0.403443636807875	0.8119176959241531
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	61	-0.403443636807875	0.5440669113428792
1: region 6 intercept, rho=0.99	1. CP	62	-0.07067885702131796	0.7003827854397688
1: region 6 intercept, rho=0.99	2. NCP	62	-0.07067885702131796	0.7516763750140458
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	62	-0.07067885702131796	0.7007251291628198
1: region 6 intercept, rho=0.99	1. CP	63	-0.21120203355349781	0.6318745892436883
1: region 6 intercept, rho=0.99	2. NCP	63	-0.21120203355349781	0.780467401781632
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	63	-0.21120203355349781	0.6328409721594016
1: region 6 intercept, rho=0.99	1. CP	64	0.10239356089982223	0.5600255377237776
1: region 6 intercept, rho=0.99	2. NCP	64	0.10239356089982223	0.505520617949319
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	64	0.10239356089982223	0.5596841730668893
1: region 6 intercept, rho=0.99	1. CP	65	-0.3825954342404545	0.6304732235155213
1: region 6 intercept, rho=0.99	2. NCP	65	-0.3825954342404545	0.9243271986872977
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	65	-0.3825954342404545	0.6324070149197225
1: region 6 intercept, rho=0.99	1. CP	66	-0.5059867231075906	0.6591306586574345
1: region 6 intercept, rho=0.99	2. NCP	66	-0.5059867231075906	1.0932481586771956
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	66	-0.5059867231075906	0.6620025169394539
1: region 6 intercept, rho=0.99	1. CP	67	-0.5666504690370869	0.7001886969976373
1: region 6 intercept, rho=0.99	2. NCP	67	-0.5666504690370869	1.2339804171034732
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	67	-0.5666504690370869	0.7037288810292457
1: region 6 intercept, rho=0.99	1. CP	68	-0.10849068921467535	0.7870302346026938
1: region 6 intercept, rho=0.99	2. NCP	68	-0.10849068921467535	0.8772195950148896
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	68	-0.10849068921467535	0.7876444452811064
1: region 6 intercept, rho=0.99	1. CP	69	-0.06175900916964248	0.6405463437702026
1: region 6 intercept, rho=0.99	2. NCP	69	-0.06175900916964248	0.6813529702197393
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	69	-0.06175900916964248	0.6408094948676245
1: region 6 intercept, rho=0.99	1. CP	70	-0.7824153200694479	0.7567209000648214
1: region 6 intercept, rho=0.99	2. NCP	70	-0.7824153200694479	1.6547576026070978
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	70	-0.7824153200694479	0.7628912949521366
1: region 6 intercept, rho=0.99	1. CP	71	-0.20581518223822856	0.6751919937333093
1: region 6 intercept, rho=0.99	2. NCP	71	-0.20581518223822856	0.8294910067729192
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	71	-0.20581518223822856	0.6762046542163689
1: region 6 intercept, rho=0.99	1. CP	72	-0.6927870245668493	0.6369066037547568
1: region 6 intercept, rho=0.99	2. NCP	72	-0.6927870245668493	1.2733545186534725
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	72	-0.6927870245668493	0.6411096124652946
1: region 6 intercept, rho=0.99	1. CP	73	-0.6797196252899734	0.5727958577060759
1: region 6 intercept, rho=0.99	2. NCP	73	-0.6797196252899734	1.1303120333002328
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	73	-0.6797196252899734	0.5763469264586061
1: region 6 intercept, rho=0.99	1. CP	74	-0.924828992634181	0.5022330517025839
1: region 6 intercept, rho=0.99	2. NCP	74	-0.924828992634181	1.2663490188643292
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	74	-0.924828992634181	0.5068898308646456
1: region 6 intercept, rho=0.99	1. CP	75	-0.40728141894629344	0.7435298907367915
1: region 6 intercept, rho=0.99	2. NCP	75	-0.40728141894629344	1.1173223989885264
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	75	-0.40728141894629344	0.7460584444417327
1: region 6 intercept, rho=0.99	1. CP	76	-0.7614234893539922	0.6256155167746784
1: region 6 intercept, rho=0.99	2. NCP	76	-0.7614234893539922	1.339644395596768
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	76	-0.7614234893539922	0.6302577188021042
1: region 6 intercept, rho=0.99	1. CP	77	-0.7724205937047826	0.7469599231236651
1: region 6 intercept, rho=0.99	2. NCP	77	-0.7724205937047826	1.6171686091506334
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	77	-0.7724205937047826	0.7529573944646252
1: region 6 intercept, rho=0.99	1. CP	78	-0.6170317579210003	0.5162974958595067
1: region 6 intercept, rho=0.99	2. NCP	78	-0.6170317579210003	0.9569153170716468
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	78	-0.6170317579210003	0.519061636426376
1: region 6 intercept, rho=0.99	1. CP	79	-0.6569422709523441	0.6482672487806154
1: region 6 intercept, rho=0.99	2. NCP	79	-0.6569422709523441	1.2504331662156842
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	79	-0.6569422709523441	0.6522187901822467
1: region 6 intercept, rho=0.99	1. CP	80	-0.8882024357567462	0.6969862669028782
1: region 6 intercept, rho=0.99	2. NCP	80	-0.8882024357567462	1.6942037461742088
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	80	-0.8882024357567462	0.7036077501666794
1: region 6 intercept, rho=0.99	1. CP	81	-0.40862105210953914	0.6464491487951886
1: region 6 intercept, rho=0.99	2. NCP	81	-0.40862105210953914	0.9727387932134534
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	81	-0.40862105210953914	0.6485761922994553
1: region 6 intercept, rho=0.99	1. CP	82	-0.6791324938620907	0.6449673612461216
1: region 6 intercept, rho=0.99	2. NCP	82	-0.6791324938620907	1.2719827807450368
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	82	-0.6791324938620907	0.6489785945634339
1: region 6 intercept, rho=0.99	1. CP	83	-0.7220472533246153	0.6790543551768227
1: region 6 intercept, rho=0.99	2. NCP	83	-0.7220472533246153	1.397930810068193
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	83	-0.7220472533246153	0.6840787955971482
1: region 6 intercept, rho=0.99	1. CP	84	-0.675021625087481	0.7165967912087998
1: region 6 intercept, rho=0.99	2. NCP	84	-0.675021625087481	1.4074501643121
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	84	-0.675021625087481	0.7214145515652308
1: region 6 intercept, rho=0.99	1. CP	85	-0.3958117697728837	0.687247829714669
1: region 6 intercept, rho=0.99	2. NCP	85	-0.3958117697728837	1.0209682685498378
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	85	-0.3958117697728837	0.6895570850687388
1: region 6 intercept, rho=0.99	1. CP	86	-0.9381224589980613	0.5936646742471684
1: region 6 intercept, rho=0.99	2. NCP	86	-0.9381224589980613	1.5169197803402736
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	86	-0.9381224589980613	0.5994005215619469
1: region 6 intercept, rho=0.99	1. CP	87	-0.7367874072149232	0.6831317626709805
1: region 6 intercept, rho=0.99	2. NCP	87	-0.7367874072149232	1.4272077124395635
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	87	-0.7367874072149232	0.688166284979422
1: region 6 intercept, rho=0.99	1. CP	88	-0.6213088390539192	0.6889930265732889
1: region 6 intercept, rho=0.99	2. NCP	88	-0.6213088390539192	1.2824659011992552
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	88	-0.6213088390539192	0.6929788324505107
1: region 6 intercept, rho=0.99	1. CP	89	-0.6990511834985703	0.7092772493129009
1: region 6 intercept, rho=0.99	2. NCP	89	-0.6990511834985703	1.4269544207368672
