coordinate	candidate	loss
5	1.0	-0.5890425832803252
6	0.0	-0.4976499132662114
6	0.01	-0.49889941346680133
6	0.02	-0.5001425732149224
6	0.03	-0.5013792543444764
6	0.04	-0.5026093179268605
6	0.05	-0.5038326242965943
6	0.06	-0.5050490330775691
6	0.07	-0.5062584032104402
6	0.08	-0.5074605929807042
6	0.09	-0.5086554600476549
6	0.1	-0.5098428614742988
6	0.11	-0.5110226537579685
6	0.12	-0.5121946928621346
6	0.13	-0.5133588342486235
6	0.14	-0.5145149329111105
6	0.15	-0.5156628434092605
6	0.16	-0.516802419903772
6	0.17	-0.5179335161923522
6	0.18	-0.5190559857463318
6	0.19	-0.5201696817485452
6	0.2	-0.5212744571314865
6	0.21	-0.5223701646168135
6	0.22	-0.5234566567552887
6	0.23	-0.5245337859679048
6	0.24	-0.5256014045873469
6	0.25	-0.5266593649007392
6	0.26	-0.5277075191928174
6	0.27	-0.528745719790005
6	0.28	-0.52977381910524
6	0.29	-0.5307916696834272
6	0.3	-0.5317991242478912
6	0.31	-0.5327960357470664
6	0.32	-0.5337822574023577
6	0.33	-0.5347576427562597
6	0.34	-0.5357220457213808
6	0.35	-0.5366753206299585
6	0.36	-0.5376173222839818
6	0.37	-0.5385479060058761
6	0.38	-0.5394669276897731
6	0.39	-0.5403742438531921
6	0.4	-0.5412697116893863
6	0.41	-0.5421531891198921
6	0.42	-0.543024534847761
6	0.43	-0.5438836084109968
6	0.44	-0.5447302702364669
6	0.45	-0.5455643816940556
6	0.46	-0.5463858051512336
6	0.47	-0.5471944040277448
6	0.48	-0.5479900428505874
6	0.49	-0.5487725873092508
6	0.5	-0.5495419043109407
6	0.51	-0.5502978620360651
6	0.52	-0.5510403299937042
6	0.53	-0.5517691790771357
6	0.54	-0.552484281619377
6	0.55	-0.5531855114486162
6	0.56	-0.5538727439436105
6	0.57	-0.5545458560888923
6	0.58	-0.5552047265298634
6	0.59	-0.5558492356275722
6	0.6	-0.5564792655133171
6	0.61	-0.557094700142871
6	0.62	-0.5576954253503792
6	0.63	-0.5582813289018348
6	0.64	-0.558852300548115
6	0.65	-0.5594082320775262
6	0.66	-0.5599490173677841
6	0.67	-0.5604745524374402
6	0.68	-0.5609847354966463
6	0.69	-0.561479466997253
6	0.7	-0.561958649682175
6	0.71	-0.5624221886339942
6	0.72	-0.562869991322739
6	0.73	-0.5633019676528076
6	0.74	-0.5637180300089761
6	0.75	-0.564118093301465
6	0.76	-0.5645020750100155
6	0.77	-0.5648698952269112
6	0.78	-0.5652214766989364
6	0.79	-0.5655567448682157
6	0.8	-0.5658756279118687
6	0.81	-0.5661780567804903
6	0.82	-0.5664639652353802
6	0.83	-0.5667332898844829
6	0.84	-0.5669859702170269
6	0.85	-0.5672219486368028
6	0.86	-0.5674411704940637
6	0.87	-0.5676435841159924
6	0.88	-0.5678291408357299
6	0.89	-0.5679977950199113
6	0.9	-0.5681495040946977
6	0.91	-0.5682842285702594
6	0.92	-0.5684019320636969
6	0.93	-0.5685025813203715
6	0.94	-0.5685861462336176
6	0.95	-0.5686525998628175
6	0.96	-0.5687019184498245
6	0.97	-0.5687340814337062
6	0.98	-0.568749071463798
6	0.99	-0.5687468744110477
6	1.0	-0.5687274793776459
7	0.0	-0.45547826159720345
7	0.01	-0.4574583098353407
7	0.02	-0.4594399462375816
7	0.03	-0.46142292334441815
7	0.04	-0.4634069864108123
7	0.05	-0.4653918733021052
7	0.06	-0.46737731439262
7	0.07	-0.469363032467086
7	0.08	-0.47134874262552606
7	0.09	-0.47333415219139735
7	0.1	-0.4753189606237794
7	0.11	-0.4773028594334954
7	0.12	-0.4792855321040483
7	0.13	-0.48126665401703855
7	0.14	-0.48324589238312743
7	0.15	-0.48522290617822805
7	0.16	-0.4871973460858602
7	0.17	-0.48916885444570635
7	0.18	-0.49113706520902733
7	0.19	-0.493101603900992
7	0.2	-0.49506208759053005
7	0.21	-0.49701812486850866
7	0.22	-0.4989693158336804
7	0.23	-0.5009152520879011
7	0.24	-0.5028555167403038
7	0.25	-0.5047896844212784
7	0.26	-0.5067173213065195
7	0.27	-0.5086379851515445
7	0.28	-0.5105512253373117
7	0.29	-0.5124565829272599
7	0.3	-0.5143535907361243
7	0.31	-0.5162417734111825
7	0.32	-0.5181206475261763
7	0.33	-0.519989721688437
7	0.34	-0.5218484966596141
7	0.35	-0.5236964654903788
7	0.36	-0.5255331136694853
7	0.37	-0.5273579192877091
7	0.38	-0.5291703532168814
7	0.39	-0.5309698793043786
7	0.4	-0.532755954583467
7	0.41	-0.5345280294998443
7	0.42	-0.5362855481545178
7	0.43	-0.5380279485633189
7	0.44	-0.5397546629334204
7	0.45	-0.5414651179568903
7	0.46	-0.5431587351214898
7	0.47	-0.5448349310388712
7	0.48	-0.5464931177902403
7	0.49	-0.5481327032895263
7	0.5	-0.5497530916640608
7	0.51	-0.5513536836527624
7	0.52	-0.5529338770216813
7	0.53	-0.5544930669967901
7	0.54	-0.5560306467138304
7	0.55	-0.5575460076849885
7	0.56	-0.5590385402820574
7	0.57	-0.5605076342357811
7	0.58	-0.5619526791509051
7	0.59	-0.5633730650365334
7	0.6	-0.56476818285118
7	0.61	-0.5661374250619803
7	0.62	-0.5674801862173818
7	0.63	-0.5687958635325651
7	0.64	-0.5700838574868786
7	0.65	-0.5713435724323788
7	0.66	-0.5725744172125942
7	0.67	-0.5737758057905674
7	0.68	-0.5749471578851112
7	0.69	-0.5760878996142128
7	0.7	-0.5771974641444572
7	0.71	-0.5782752923452512
7	0.72	-0.5793208334466158
7	0.73	-0.5803335456992567
7	0.74	-0.5813128970355532
7	0.75	-0.5822583657301067
7	0.76	-0.5831694410584223
7	0.77	-0.5840456239522434
7	0.78	-0.5848864276501056
7	0.79	-0.585691378341555
7	0.8	-0.5864600158035334
7	0.81	-0.5871918940273724
7	0.82	-0.5878865818348702
7	0.83	-0.5885436634818603
7	0.84	-0.5891627392477643
7	0.85	-0.5897434260095649
7	0.86	-0.5902853577986843
7	0.87	-0.5907881863392627
7	0.88	-0.5912515815663671
7	0.89	-0.5916752321226941
7	0.9	-0.5920588458323601
7	0.91	-0.5924021501504406
7	0.92	-0.5927048925869569
7	0.93	-0.5929668411040694
7	0.94	-0.5931877844853173
7	0.95	-0.5933675326757895
7	0.96	-0.5935059170922172
7	0.97	-0.593602790902033
